# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.50000000e+00
# Aref          : 1.76641672e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
34              	4.22798874e-01	-8.37534525e-04	5.40169828e-03	-7.27602361e-08	-1.96706299e-03	-3.07381382e-04	2.11399364e-01	2.11399510e-01	-7.26148644e-04	-1.11385880e-04	7.33786145e-04	4.66791213e-03
35              	4.29648775e-01	-8.64365114e-04	5.49056962e-03	-7.47305581e-08	-2.06108402e-03	-3.12696839e-04	2.14824313e-01	2.14824462e-01	-7.44879396e-04	-1.19485717e-04	6.84200785e-04	4.80636883e-03
36              	4.27967053e-01	-9.37029291e-04	5.66877900e-03	-7.81031629e-08	-2.17715928e-03	-3.35128028e-04	2.13983448e-01	2.13983605e-01	-8.03642674e-04	-1.33386618e-04	6.57230217e-04	5.01154879e-03
37              	4.17570831e-01	-1.06092238e-03	6.03325274e-03	-8.06121653e-08	-2.32997965e-03	-3.81866479e-04	2.08785335e-01	2.08785496e-01	-9.12327671e-04	-1.48594714e-04	6.86646723e-04	5.34660602e-03
38              	4.05175298e-01	-1.19604745e-03	6.45579590e-03	-7.97086098e-08	-2.47421894e-03	-4.40339482e-04	2.02587569e-01	2.02587729e-01	-1.03836321e-03	-1.57684242e-04	7.53679007e-04	5.70211689e-03
39              	3.97886190e-01	-1.31494041e-03	6.84425234e-03	-8.08491496e-08	-2.59980289e-03	-4.94150669e-04	1.98943014e-01	1.98943176e-01	-1.15162087e-03	-1.63319536e-04	8.22323277e-04	6.02192907e-03
40              	3.98698691e-01	-1.39106439e-03	7.18811514e-03	-7.86148683e-08	-2.72620085e-03	-5.25272650e-04	1.99349267e-01	1.99349424e-01	-1.22080485e-03	-1.70259544e-04	8.67856716e-04	6.32025842e-03
41              	4.04725083e-01	-1.42565476e-03	7.52604692e-03	-7.08933202e-08	-2.86983348e-03	-5.35646391e-04	2.02362471e-01	2.02362613e-01	-1.24847377e-03	-1.77180988e-04	8.93189985e-04	6.63285694e-03
42              	4.10411705e-01	-1.46621553e-03	7.87221583e-03	-6.33100892e-08	-3.02221565e-03	-5.50190684e-04	2.05205789e-01	2.05205916e-01	-1.28329845e-03	-1.82917081e-04	9.13892265e-04	6.95832357e-03
43              	4.11855203e-01	-1.54372981e-03	8.21984219e-03	-5.77025514e-08	-3.17025640e-03	-5.84008690e-04	2.05927544e-01	2.05927659e-01	-1.35587360e-03	-1.87856217e-04	9.39664693e-04	7.28017750e-03
44              	4.08824866e-01	-1.63503012e-03	8.57926416e-03	-5.26079726e-08	-3.31320599e-03	-6.27384309e-04	2.04412381e-01	2.04412486e-01	-1.44489937e-03	-1.90130753e-04	9.76426085e-04	7.60283807e-03
45              	4.03606395e-01	-1.69793278e-03	9.01054372e-03	-4.85239974e-08	-3.47418176e-03	-6.58534647e-04	2.01803149e-01	2.01803246e-01	-1.50750104e-03	-1.90431741e-04	1.03109010e-03	7.97945363e-03
46              	3.98500095e-01	-1.74399110e-03	9.48947677e-03	-4.45105975e-08	-3.65263732e-03	-6.78826801e-04	1.99250003e-01	1.99250092e-01	-1.55082235e-03	-1.93168747e-04	1.09210107e-03	8.39737570e-03
47              	3.94386179e-01	-1.79513152e-03	9.98694708e-03	-4.06002385e-08	-3.84339905e-03	-6.96322043e-04	1.97193049e-01	1.97193130e-01	-1.59388780e-03	-2.01243715e-04	1.15007449e-03	8.83687259e-03
48              	3.90852585e-01	-1.86230180e-03	1.04589865e-02	-4.01695766e-08	-4.02981009e-03	-7.19164122e-04	1.95426252e-01	1.95426333e-01	-1.65031502e-03	-2.11986779e-04	1.19968317e-03	9.25930335e-03
49              	3.87085006e-01	-1.94997234e-03	1.08928566e-02	-3.94935535e-08	-4.20441136e-03	-7.51555643e-04	1.93542464e-01	1.93542543e-01	-1.72654181e-03	-2.23430526e-04	1.24201696e-03	9.65083967e-03
50              	3.82704287e-01	-2.06252372e-03	1.13535064e-02	-3.70880615e-08	-4.38766434e-03	-7.96570358e-04	1.91352106e-01	1.91352181e-01	-1.82783222e-03	-2.34691500e-04	1.28908886e-03	1.00644175e-02
51              	3.77911770e-01	-2.19733572e-03	1.19071050e-02	-3.50050310e-08	-4.60363989e-03	-8.51015925e-04	1.88955850e-01	1.88955920e-01	-1.94968379e-03	-2.47651936e-04	1.34991261e-03	1.05571924e-02
52              	3.73295016e-01	-2.35515523e-03	1.25975296e-02	-3.30946914e-08	-4.86935976e-03	-9.13203513e-04	1.86647475e-01	1.86647541e-01	-2.09078113e-03	-2.64374101e-04	1.42940503e-03	1.11681246e-02
53              	3.69369902e-01	-2.53224357e-03	1.34025544e-02	-3.20524240e-08	-5.17916217e-03	-9.81358814e-04	1.84684919e-01	1.84684983e-01	-2.24748060e-03	-2.84762973e-04	1.52211503e-03	1.18804394e-02
54              	3.66300969e-01	-2.72782684e-03	1.42428970e-02	-3.20321789e-08	-5.50494121e-03	-1.05627354e-03	1.83150452e-01	1.83150516e-01	-2.42018696e-03	-3.07639877e-04	1.61650731e-03	1.26263897e-02
55              	3.63837517e-01	-2.94809637e-03	1.50773079e-02	-3.21031956e-08	-5.82994355e-03	-1.14087512e-03	1.81918727e-01	1.81918791e-01	-2.61492331e-03	-3.33173066e-04	1.70871041e-03	1.33685975e-02
56              	3.61618770e-01	-3.18790679e-03	1.59130215e-02	-3.25508884e-08	-6.15534607e-03	-1.23352877e-03	1.80809352e-01	1.80809417e-01	-2.82748217e-03	-3.60424622e-04	1.80116468e-03	1.41118568e-02
57              	3.59505635e-01	-3.44352680e-03	1.67896336e-02	-3.29497023e-08	-6.49504397e-03	-1.33261153e-03	1.79752784e-01	1.79752850e-01	-3.05437493e-03	-3.89151865e-04	1.89977281e-03	1.48898608e-02
58              	3.57544168e-01	-3.71369574e-03	1.77514410e-02	-3.30385392e-08	-6.86588338e-03	-1.43736065e-03	1.78772051e-01	1.78772117e-01	-3.29420853e-03	-4.19487217e-04	2.00983710e-03	1.57416039e-02
59              	3.55816289e-01	-3.99786062e-03	1.88032681e-02	-3.31668165e-08	-7.27043462e-03	-1.54722617e-03	1.77908111e-01	1.77908178e-01	-3.54615648e-03	-4.51704134e-04	2.13119941e-03	1.66720686e-02
60              	3.54339055e-01	-4.29503219e-03	1.99145242e-02	-3.23060250e-08	-7.69772307e-03	-1.66185409e-03	1.77169495e-01	1.77169560e-01	-3.80937018e-03	-4.85662011e-04	2.25953901e-03	1.76549851e-02
61              	3.53060086e-01	-4.60741020e-03	2.10634436e-02	-3.10306875e-08	-8.13943741e-03	-1.78264215e-03	1.76530012e-01	1.76530074e-01	-4.08634725e-03	-5.21062946e-04	2.39228438e-03	1.86711592e-02
62              	3.51909058e-01	-4.93343249e-03	2.22520876e-02	-2.91828987e-08	-8.59672182e-03	-1.90944971e-03	1.75954500e-01	1.75954558e-01	-4.37616595e-03	-5.57266540e-04	2.52932198e-03	1.97227656e-02
63              	3.50834000e-01	-5.27296624e-03	2.34948686e-02	-2.71405944e-08	-9.07467563e-03	-2.04213673e-03	1.75416973e-01	1.75417027e-01	-4.67861986e-03	-5.94346387e-04	2.67275867e-03	2.08221099e-02
64              	3.49794850e-01	-5.62958161e-03	2.48160178e-02	-2.50963887e-08	-9.58220479e-03	-2.18118209e-03	1.74897400e-01	1.74897450e-01	-4.99597290e-03	-6.33608710e-04	2.82580412e-03	2.19902137e-02
65              	3.48790461e-01	-6.00227277e-03	2.62245489e-02	-2.27984299e-08	-1.01227209e-02	-2.32560572e-03	1.74395208e-01	1.74395253e-01	-5.32674211e-03	-6.75530663e-04	2.98955352e-03	2.32349954e-02
66              	3.47833227e-01	-6.39530108e-03	2.77172511e-02	-2.11239278e-08	-1.06951211e-02	-2.47723108e-03	1.73916592e-01	1.73916635e-01	-5.67488162e-03	-7.20419455e-04	3.16350445e-03	2.45537467e-02
67              	3.46942447e-01	-6.80958528e-03	2.92893725e-02	-1.95214257e-08	-1.12976093e-02	-2.63691521e-03	1.73471204e-01	1.73471243e-01	-6.04170785e-03	-7.67877436e-04	3.34707698e-03	2.59422955e-02
68              	3.46140016e-01	-7.24202256e-03	3.09404985e-02	-1.77620125e-08	-1.19301577e-02	-2.80388639e-03	1.73069990e-01	1.73070026e-01	-6.42489767e-03	-8.17124888e-04	3.54009155e-03	2.74004069e-02
69              	3.45428044e-01	-7.69171552e-03	3.26758555e-02	-1.57498662e-08	-1.25949658e-02	-2.97792245e-03	1.72714006e-01	1.72714038e-01	-6.82378021e-03	-8.67935308e-04	3.74296199e-03	2.89328935e-02
70              	3.44793433e-01	-8.16423926e-03	3.45022502e-02	-1.54334458e-08	-1.32946761e-02	-3.16096210e-03	1.72396701e-01	1.72396732e-01	-7.24308173e-03	-9.21157530e-04	3.95644901e-03	3.05458012e-02
71              	3.44221859e-01	-8.65840980e-03	3.64251968e-02	-1.77500971e-08	-1.40312692e-02	-3.35218409e-03	1.72110912e-01	1.72110947e-01	-7.68138899e-03	-9.77020811e-04	4.18132918e-03	3.22438676e-02
72              	3.43687581e-01	-9.17552443e-03	3.84413084e-02	-1.97982217e-08	-1.48032915e-02	-3.55190947e-03	1.71843771e-01	1.71843811e-01	-8.13967168e-03	-1.03585275e-03	4.41736271e-03	3.40239457e-02
73              	3.43173388e-01	-9.71760125e-03	4.05489128e-02	-2.15206864e-08	-1.56103678e-02	-3.76082218e-03	1.71586672e-01	1.71586715e-01	-8.61962281e-03	-1.09797845e-03	4.66408861e-03	3.58848242e-02
74              	3.42676743e-01	-1.02839626e-02	4.27522444e-02	-2.35617047e-08	-1.64543430e-02	-3.97874513e-03	1.71338348e-01	1.71338395e-01	-9.12072642e-03	-1.16323615e-03	4.92177922e-03	3.78304652e-02
75              	3.42183974e-01	-1.08709382e-02	4.50546890e-02	-2.60991643e-08	-1.73363775e-02	-4.20453030e-03	1.71091961e-01	1.71092013e-01	-9.63999939e-03	-1.23093880e-03	5.19096703e-03	3.98637220e-02
76              	3.41689494e-01	-1.14822772e-02	4.74570848e-02	-2.85770644e-08	-1.82565073e-02	-4.43975332e-03	1.70844718e-01	1.70844776e-01	-1.01808919e-02	-1.30138529e-03	5.47203509e-03	4.19850497e-02
77              	3.41200608e-01	-1.21245123e-02	4.99594495e-02	-3.07119067e-08	-1.92146615e-02	-4.68700144e-03	1.70600273e-01	1.70600335e-01	-1.07492576e-02	-1.37525471e-03	5.76506329e-03	4.41943862e-02
78              	3.40727822e-01	-1.27980375e-02	5.25581790e-02	-3.20396652e-08	-2.02094689e-02	-4.94638413e-03	1.70363879e-01	1.70363943e-01	-1.13454029e-02	-1.45263464e-03	6.06962056e-03	4.64885584e-02
79              	3.40272962e-01	-1.34980866e-02	5.52509872e-02	-3.39120425e-08	-2.12402348e-02	-5.21591987e-03	1.70136447e-01	1.70136515e-01	-1.19649632e-02	-1.53312342e-03	6.38525880e-03	4.88657284e-02
80              	3.39826000e-01	-1.42237875e-02	5.80409469e-02	-3.70794699e-08	-2.23081719e-02	-5.49519246e-03	1.69912963e-01	1.69913037e-01	-1.26070862e-02	-1.61670128e-03	6.71230150e-03	5.13286454e-02
81              	3.39384043e-01	-1.49766131e-02	6.09348231e-02	-4.15212070e-08	-2.34159024e-02	-5.78483796e-03	1.69691980e-01	1.69692063e-01	-1.32731445e-02	-1.70346861e-03	7.05150911e-03	5.38833140e-02
82              	3.38955983e-01	-1.57617484e-02	6.39386905e-02	-4.72940713e-08	-2.45656737e-02	-6.08689751e-03	1.69477944e-01	1.69478039e-01	-1.39677717e-02	-1.79397670e-03	7.40367154e-03	5.65350190e-02
83              	3.38554205e-01	-1.65818243e-02	6.70586186e-02	-5.38664129e-08	-2.57598182e-02	-6.40251395e-03	1.69277049e-01	1.69277156e-01	-1.46934261e-02	-1.88839822e-03	7.76949111e-03	5.92891275e-02
84              	3.38187731e-01	-1.74392387e-02	7.02940735e-02	-5.96360612e-08	-2.69979174e-02	-6.73254071e-03	1.69093806e-01	1.69093925e-01	-1.54521601e-02	-1.98707864e-03	8.14911935e-03	6.21449542e-02
85              	3.37872455e-01	-1.83286744e-02	7.36425683e-02	-6.64103118e-08	-2.82788828e-02	-7.07497747e-03	1.68936161e-01	1.68936294e-01	-1.62393147e-02	-2.08935973e-03	8.54240138e-03	6.51001669e-02
