# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.10719220e+00
# Aref          : 5.38705787e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
215             	1.36761367e-02	1.47968855e-06	-1.54295556e-06	1.95623819e-09	-4.56932233e-07	1.11604817e-07	6.83807032e-03	6.83806641e-03	8.51449091e-07	6.28239457e-07	-1.22841002e-06	-3.14545549e-07
216             	1.36732205e-02	1.48586474e-06	-1.52536117e-06	1.95695585e-09	-4.65995773e-07	1.15419332e-07	6.83661218e-03	6.83660827e-03	8.58351704e-07	6.27513041e-07	-1.22867636e-06	-2.96684813e-07
217             	1.36703363e-02	1.49031260e-06	-1.50591790e-06	1.95764152e-09	-4.75228056e-07	1.18556288e-07	6.83517010e-03	6.83516618e-03	8.63712589e-07	6.26600013e-07	-1.22818701e-06	-2.77730893e-07
218             	1.36674854e-02	1.49423033e-06	-1.48994083e-06	1.95821461e-09	-4.82540656e-07	1.21512455e-07	6.83374466e-03	6.83374074e-03	8.68627619e-07	6.25602709e-07	-1.22751107e-06	-2.62429760e-07
219             	1.36646681e-02	1.49842998e-06	-1.47751361e-06	1.95880600e-09	-4.88233599e-07	1.24696061e-07	6.83233601e-03	6.83233209e-03	8.73911053e-07	6.24518931e-07	-1.22699041e-06	-2.50523207e-07
220             	1.36618841e-02	1.50392084e-06	-1.46681257e-06	1.95939863e-09	-4.93000440e-07	1.28558315e-07	6.83094403e-03	6.83094012e-03	8.80518736e-07	6.23402106e-07	-1.22640673e-06	-2.40405846e-07
221             	1.36591344e-02	1.51072139e-06	-1.45549061e-06	1.95998018e-09	-4.97684157e-07	1.32964619e-07	6.82956916e-03	6.82956524e-03	8.88325314e-07	6.22396077e-07	-1.22542946e-06	-2.30061146e-07
222             	1.36564202e-02	1.51817555e-06	-1.44152792e-06	1.96053707e-09	-5.03231656e-07	1.37641165e-07	6.82821206e-03	6.82820814e-03	8.96728942e-07	6.21446612e-07	-1.22399561e-06	-2.17532302e-07
223             	1.36537428e-02	1.52587298e-06	-1.42481889e-06	1.96100979e-09	-5.09855187e-07	1.42257942e-07	6.82687338e-03	6.82686946e-03	9.05194432e-07	6.20678548e-07	-1.22226463e-06	-2.02554255e-07
224             	1.36511031e-02	1.53402683e-06	-1.40734785e-06	1.96146097e-09	-5.16643021e-07	1.46825551e-07	6.82555351e-03	6.82554959e-03	9.13838968e-07	6.20187866e-07	-1.22031695e-06	-1.87030905e-07
