# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.33000000e+00
# Aref          : 2.45006583e-01
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
60              	3.73117383e-02	4.02758533e-04	-1.14992189e-03	8.63899335e-09	4.22636899e-04	1.47843318e-04	1.86558778e-02	1.86558605e-02	3.49222585e-04	5.35359480e-05	-1.52324044e-04	-9.97597843e-04
61              	3.72017798e-02	4.20251788e-04	-1.18080300e-03	8.23439781e-09	4.34525100e-04	1.54359788e-04	1.86008981e-02	1.86008817e-02	3.64485682e-04	5.57661065e-05	-1.55876397e-04	-1.02492660e-03
62              	3.70973087e-02	4.38672905e-04	-1.21299429e-03	7.78898972e-09	4.47009397e-04	1.61183077e-04	1.85486621e-02	1.85486465e-02	3.80519530e-04	5.81533753e-05	-1.59487747e-04	-1.05350654e-03
63              	3.69894306e-02	4.57969180e-04	-1.24686990e-03	7.31896218e-09	4.60139476e-04	1.68259177e-04	1.84947226e-02	1.84947080e-02	3.97243766e-04	6.07254132e-05	-1.63295475e-04	-1.08357443e-03
64              	3.68769214e-02	4.78048350e-04	-1.28246248e-03	6.85852780e-09	4.73930672e-04	1.75618444e-04	1.84384676e-02	1.84384538e-02	4.14642619e-04	6.34057304e-05	-1.67300569e-04	-1.11516191e-03
65              	3.67639329e-02	4.98914702e-04	-1.31974356e-03	6.43896951e-09	4.88350634e-04	1.83309931e-04	1.83819729e-02	1.83819600e-02	4.32767282e-04	6.61474195e-05	-1.71521146e-04	-1.14822242e-03
66              	3.66549215e-02	5.20443510e-04	-1.35873497e-03	6.06516116e-09	5.03457526e-04	1.91374915e-04	1.83274668e-02	1.83274547e-02	4.51596671e-04	6.88468397e-05	-1.75909960e-04	-1.18282501e-03
67              	3.65519452e-02	5.42684319e-04	-1.39975246e-03	5.75378984e-09	5.19367485e-04	1.99823932e-04	1.82759784e-02	1.82759668e-02	4.71166092e-04	7.15182270e-05	-1.80508745e-04	-1.21924372e-03
68              	3.64540008e-02	5.66122908e-04	-1.44321176e-03	5.50749395e-09	5.36125031e-04	2.08691078e-04	1.82270059e-02	1.82269949e-02	4.91752532e-04	7.43703762e-05	-1.85480851e-04	-1.25773091e-03
69              	3.63579449e-02	5.91015695e-04	-1.48913277e-03	5.29466233e-09	5.53665544e-04	2.17970430e-04	1.81789778e-02	1.81789672e-02	5.13478277e-04	7.75374173e-05	-1.90900838e-04	-1.29823193e-03
70              	3.62605987e-02	6.17294282e-04	-1.53742001e-03	5.11659750e-09	5.72001982e-04	2.27714856e-04	1.81303045e-02	1.81302942e-02	5.36361997e-04	8.09322845e-05	-1.96708025e-04	-1.34071199e-03
71              	3.61604504e-02	6.44779104e-04	-1.58830870e-03	4.94870509e-09	5.91300637e-04	2.37948724e-04	1.80802302e-02	1.80802203e-02	5.60338276e-04	8.44408283e-05	-2.02853713e-04	-1.38545499e-03
72              	3.60581060e-02	6.73442793e-04	-1.64196030e-03	4.80202569e-09	6.11637963e-04	2.48678066e-04	1.80290578e-02	1.80290482e-02	5.85399462e-04	8.80433309e-05	-2.09342186e-04	-1.43261811e-03
73              	3.59558131e-02	7.03196803e-04	-1.69836069e-03	4.69228247e-09	6.32969378e-04	2.59862872e-04	1.79779112e-02	1.79779019e-02	6.11461273e-04	9.17355300e-05	-2.16210967e-04	-1.48214972e-03
74              	3.58552190e-02	7.34025281e-04	-1.75745639e-03	4.59319300e-09	6.55240120e-04	2.71464596e-04	1.79276141e-02	1.79276049e-02	6.38477237e-04	9.55480443e-05	-2.23488074e-04	-1.53396831e-03
75              	3.57570339e-02	7.66149174e-04	-1.81939483e-03	4.51020122e-09	6.78477496e-04	2.83520145e-04	1.78785215e-02	1.78785124e-02	6.66594731e-04	9.95544421e-05	-2.31219917e-04	-1.58817491e-03
76              	3.56618911e-02	7.99597371e-04	-1.88407284e-03	4.43264935e-09	7.02669798e-04	2.96028996e-04	1.78309500e-02	1.78309411e-02	6.95827681e-04	1.03769689e-04	-2.39366620e-04	-1.64470622e-03
77              	3.55696817e-02	8.34230076e-04	-1.95152096e-03	4.35178033e-09	7.27845791e-04	3.08948605e-04	1.77848452e-02	1.77848365e-02	7.26063643e-04	1.08166433e-04	-2.47914690e-04	-1.70360627e-03
78              	3.54797033e-02	8.70091385e-04	-2.02165824e-03	4.24717191e-09	7.53984635e-04	3.22320113e-04	1.77398559e-02	1.77398474e-02	7.57365805e-04	1.12725579e-04	-2.56844485e-04	-1.76481376e-03
