a,b,c,d,n,t,v,D,infeasible
315.26733,1255.0193,163.52913,124.833405,2.7515855,27.660381,21803.402,5.3298755,0
421.7767,454.8118,402.047,141.29295,3.8963366,30.948387,17537.066,4.470942,0
260.3765,901.1377,171.64368,150.24017,3.0526466,1.3844656,21917.559,5.758945,0
182.27583,816.16925,101.66208,101.203476,3.9629273,27.064865,10154.17,3.2839034,0
357.2076,438.02826,236.63449,158.32185,1.6260986,34.548286,16845.629,5.4604225,0
365.71533,1116.3732,271.3705,133.52454,3.725859,20.961773,23914.314,5.52155,0
201.58568,1196.7517,100.02119,71.43483,4.0526567,14.24249,8463.595,2.7285929,0
573.34576,716.7931,512.76013,196.06104,1.3508669,48.262943,37522.72,10.178716,0
225.29182,1205.8359,173.2128,88.20509,1.8097312,26.581083,12054.594,3.426097,0
475.07947,1064.6022,316.07022,195.12485,4.1195498,40.133133,43894.367,9.110066,0
209.80139,1492.4948,168.35864,117.043,1.932984,40.792965,20808.324,5.427989,0
288.2376,563.71954,262.28546,101.01813,2.466221,37.88526,10918.702,1100.0,1
338.2999,973.7875,170.83359,135.532,1.1921693,12.607477,21049.883,5.054258,0
262.46872,791.29346,252.3476,158.1583,4.532405,36.607777,22365.916,5.7426567,0
264.52908,1038.3561,307.53146,148.31398,1.6704212,45.394962,25154.531,6.295719,0
128.20941,1139.5978,141.22585,113.310776,3.3628266,25.163301,14684.468,4.358951,0
225.72626,725.42004,235.04858,89.38603,4.988663,48.086784,9674.954,1100.0,1
322.03195,560.9877,325.11752,124.89304,4.484455,48.008175,14682.996,4.6426215,0
142.50342,1316.8495,132.9017,56.0502,2.8424764,11.088762,6197.894,1100.0,1
136.8558,958.8276,140.94632,52.500443,1.1421021,22.760399,4958.9536,1100.0,1
185.94382,770.6837,257.29755,126.31544,1.2624907,40.632866,14794.95,4.188598,0
394.32648,956.45496,224.19316,165.30835,1.4994186,2.3907967,29481.66,6.525468,0
54.665825,1315.3125,67.77409,52.041725,1.1670625,33.748276,4058.6526,1100.0,1
410.67758,1380.0549,198.2121,140.64458,2.2042215,1.8294288,29989.855,6.619487,0
89.047066,847.55505,109.87845,50.311874,4.6350327,2.3577054,3676.9353,1100.0,1
159.39557,962.0534,241.36613,131.22012,1.2167102,13.707475,17673.512,4.601949,0
482.70135,543.502,561.3766,188.95844,3.7739952,32.12957,29687.62,7.3594804,0
196.22925,1304.1737,128.81592,67.08394,3.3322752,46.44791,8372.756,2.7734568,0
541.33093,776.7048,455.6447,199.16801,1.4467283,40.62207,39023.703,8.558889,0
146.97002,1276.8939,321.03555,119.277824,4.2094665,13.865039,19275.12,5.028927,0
332.26965,917.65405,436.29327,170.80692,1.2934849,8.63442,31064.064,6.429845,0
515.6342,342.15765,523.6391,197.94371,1.0998247,40.52019,25592.297,7.071895,0
214.96904,938.7824,283.29254,118.05339,3.7025702,38.47859,15989.551,4.443264,0
192.77629,617.74646,198.44374,73.67715,1.7038847,21.05631,6843.1953,1.8918531,0
221.31978,1307.977,437.9249,198.74841,1.3411304,24.790642,49438.266,9.355326,0
310.6623,1269.2057,400.6867,145.57504,1.6292092,11.3460045,29903.346,6.3781104,0
