a,b,c,d,n,t,D
83.74234,950.04,87.1065,68.85382,2.5983145,48.847706,2.2159455
248.4438,1057.789,238.91507,86.52052,1.5931491,40.279816,3.345796
454.6031,1093.4875,438.66245,167.06647,3.7321532,15.925575,7.374775
180.48137,1088.1444,322.62967,160.10823,4.542423,29.392439,6.6736684
296.89478,584.82025,255.66977,185.41158,1.3340691,3.1977568,5.8921485
387.456,227.28426,530.0583,181.5657,2.1540675,47.780193,7.9170012
251.99382,1048.2542,296.35373,139.95586,2.7223709,29.02271,5.5078516
382.1041,704.5883,187.21101,155.38707,3.4339418,38.202362,5.495071
235.59842,574.95557,279.5517,174.17363,2.5059717,20.029062,5.3528247
134.75668,1487.2975,218.27954,92.65321,1.3965442,5.825048,4.0484767
476.19354,1246.3981,205.8775,166.9541,1.500771,3.2688673,7.781551
102.67485,1105.3348,136.35915,87.48851,2.008553,31.331543,3.120176
251.33308,1391.4133,270.03622,189.65434,4.2282033,10.805222,9.288204
168.24954,1479.5684,180.60406,69.968414,4.962805,27.256508,3.0803
133.47034,732.1631,200.3737,102.5536,2.31855,31.912666,3.0177538
193.81415,606.4259,201.37956,124.64478,1.1069216,47.97506,3.7229912
369.77985,1215.7202,206.48105,180.41731,3.9980617,34.844135,8.500867
544.0112,402.52133,197.99033,195.83214,4.0237966,1.4654806,15.876866
371.7667,1112.9493,175.71892,137.66263,3.289008,19.100395,5.729628
307.85992,945.6317,157.59508,114.0262,3.2062886,44.50056,4.1856914
209.85304,1225.2698,510.9297,191.20496,2.0613294,30.517626,9.064642
191.98862,1026.6526,237.77701,127.70076,2.0765064,27.757244,4.736326
275.6227,841.6178,169.87276,153.32878,2.8699543,33.63589,5.608034
259.80933,984.7568,169.36626,162.61787,1.9879562,6.910473,6.746467
341.36792,1134.1105,438.53522,157.02495,3.2741864,40.600616,7.576847
210.98051,1344.3553,154.47508,145.60413,3.2460637,25.724745,6.702061
199.61111,443.88028,414.73804,151.77377,4.518426,9.901029,4.4357114
188.95679,757.69244,114.32703,64.901405,3.032561,15.996299,1.8023664
375.6206,1113.4766,367.43744,138.81236,3.0871289,41.476784,6.42269
208.63911,1233.8517,149.26701,115.49926,2.5895073,47.359547,4.85161
434.28162,1016.5244,524.9217,182.12259,1.6912552,27.728281,8.063433
203.80983,987.9298,312.67062,186.55742,4.1963825,31.90289,7.7521152
149.85265,1329.3954,286.9649,119.77198,1.6001023,20.848362,5.097735
113.02237,1605.7053,234.10931,103.88999,1.4996052,19.135052,4.863493
397.55936,566.0004,423.04022,144.6763,2.9827526,40.26626,5.3690977
465.91504,537.33655,454.3858,157.01064,2.1256807,23.201277,5.1902437
173.32501,640.92523,208.63994,152.13805,2.3098834,33.53878,4.724774
107.359276,1386.3024,106.26339,106.19831,2.6096072,25.513529,4.6838603
183.42244,872.69617,265.11786,143.18764,1.6904075,15.097157,4.9144497
290.76068,1091.4756,193.01297,131.91615,3.6653907,34.054832,5.2911496
231.89561,1337.3958,169.96397,121.76063,1.9912608,17.907562,5.258408
325.84888,982.8608,170.34001,160.7152,4.7228723,43.288387,6.746229
155.30836,1156.882,110.48166,67.886406,3.287645,42.107327,2.4983351
184.75584,575.5973,453.33286,177.55298,4.3383102,16.236263,5.7338142
347.19168,608.5109,343.93716,124.56902,1.0005447,36.78372,3.9913342
458.19617,946.5241,510.08496,187.11795,3.420845,46.863003,10.13744
179.00873,1498.2192,167.39069,98.45204,1.3423107,9.659182,4.3679523
402.21664,1209.4843,339.94284,161.39886,3.0312119,32.026516,7.428077
317.99973,905.13275,376.34396,197.8752,2.4875815,25.596325,7.9122963
326.5118,1097.4108,349.3261,118.57149,2.15963,9.291898,4.67987
203.36021,680.0665,195.37854,136.64626,4.8080673,15.573555,4.307934
316.09152,477.97708,251.48538,139.97789,1.2767662,12.911539,3.9733274
324.9761,766.5756,266.77527,115.01696,3.097141,19.95911,3.7837832
267.00626,1254.871,258.14377,135.41084,4.8107505,30.558926,5.974461
289.78397,681.0837,276.94647,135.84023,4.7812114,44.421185,4.8042507
485.10672,456.76007,466.76727,198.63377,2.3720074,2.3569305,6.7803864
