# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.50000000e+00
# Aref          : 2.06603698e-01
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
54              	3.13179367e-02	-2.33223267e-04	1.21773674e-03	-2.73868168e-09	-4.70660510e-04	-9.03090924e-05	1.56589656e-02	1.56589711e-02	-2.06920726e-04	-2.63025409e-05	1.38207862e-04	1.07952888e-03
55              	3.11073170e-02	-2.52055833e-04	1.28907706e-03	-2.74475345e-09	-4.98447503e-04	-9.75423433e-05	1.55536558e-02	1.55536612e-02	-2.23570260e-04	-2.84855731e-05	1.46091027e-04	1.14298603e-03
56              	3.09176189e-02	-2.72559102e-04	1.36052875e-03	-2.78303021e-09	-5.26268712e-04	-1.05464029e-04	1.54588067e-02	1.54588122e-02	-2.41743580e-04	-3.08155219e-05	1.53995666e-04	1.20653309e-03
57              	3.07369505e-02	-2.94414057e-04	1.43547718e-03	-2.81712794e-09	-5.55312144e-04	-1.13935390e-04	1.53684724e-02	1.53684781e-02	-2.61142419e-04	-3.32716387e-05	1.62426447e-04	1.27305073e-03
58              	3.05692494e-02	-3.17512915e-04	1.51770962e-03	-2.82472330e-09	-5.87018107e-04	-1.22891212e-04	1.52846219e-02	1.52846275e-02	-2.81647670e-04	-3.58652454e-05	1.71836704e-04	1.34587292e-03
59              	3.04215194e-02	-3.41808394e-04	1.60763855e-03	-2.83569073e-09	-6.21606359e-04	-1.32284475e-04	1.52107569e-02	1.52107625e-02	-3.03188672e-04	-3.86197218e-05	1.82212918e-04	1.42542564e-03
60              	3.02952191e-02	-3.67215918e-04	1.70264853e-03	-2.76209492e-09	-6.58138593e-04	-1.42084913e-04	1.51476068e-02	1.51476123e-02	-3.25692872e-04	-4.15230464e-05	1.93185674e-04	1.50946286e-03
61              	3.01858701e-02	-3.93923559e-04	1.80087865e-03	-2.65305634e-09	-6.95904209e-04	-1.52412030e-04	1.50929324e-02	1.50929377e-02	-3.49373809e-04	-4.45497495e-05	2.04535116e-04	1.59634353e-03
62              	3.00874597e-02	-4.21797756e-04	1.90250513e-03	-2.49507442e-09	-7.35001032e-04	-1.63253800e-04	1.50437274e-02	1.50437323e-02	-3.74152678e-04	-4.76450780e-05	2.16251533e-04	1.68625360e-03
63              	2.99955446e-02	-4.50827154e-04	2.00876020e-03	-2.32046184e-09	-7.75865044e-04	-1.74598253e-04	1.49977700e-02	1.49977746e-02	-4.00011830e-04	-5.08153244e-05	2.28515058e-04	1.78024515e-03
